year,month,day_of_week,week_of_year,is_weekend,academic_period_encoded,is_exam_period,is_break_period,days_since_semester_start,sin_day,cos_day,sin_week,cos_week,temperature_2m_mean,relative_humidity_2m_mean,pm2_5_mean,pm10_mean,precipitation_sum,wind_speed_10m_mean,temperature_range,heat_humidity_index,is_rainy_day,is_hot_day,is_humid_day,is_high_pollution,temp_humidity_interaction,pollution_weather_stress,pollution_respiratory_risk_lag1,temp_systemic_risk_lag1,respiratory_digestive_interaction_lag1,pain_systemic_interaction_lag1,systemic_respiratory_combo_lag1,respiratory_count,digestive_count,pain_musculoskeletal_count,dermatological_trauma_count,neuro_psych_count,systemic_infectious_count,cardiovascular_chronic_count,other_count,visit_count_lag_1,visit_count_lag_3,visit_count_lag_7,visit_count_lag_14,respiratory_count_lag_1,respiratory_count_lag_3,respiratory_count_lag_7,respiratory_count_lag_14,digestive_count_lag_1,digestive_count_lag_3,digestive_count_lag_7,digestive_count_lag_14,pain_musculoskeletal_count_lag_1,pain_musculoskeletal_count_lag_3,pain_musculoskeletal_count_lag_7,pain_musculoskeletal_count_lag_14,dermatological_trauma_count_lag_1,dermatological_trauma_count_lag_3,dermatological_trauma_count_lag_7,dermatological_trauma_count_lag_14,neuro_psych_count_lag_1,neuro_psych_count_lag_3,neuro_psych_count_lag_7,neuro_psych_count_lag_14,systemic_infectious_count_lag_1,systemic_infectious_count_lag_3,systemic_infectious_count_lag_7,systemic_infectious_count_lag_14,cardiovascular_chronic_count_lag_1,cardiovascular_chronic_count_lag_3,cardiovascular_chronic_count_lag_7,cardiovascular_chronic_count_lag_14,other_count_lag_1,other_count_lag_3,other_count_lag_7,other_count_lag_14,visit_count_rolling_3d,visit_count_rolling_std_3d,visit_count_rolling_7d,visit_count_rolling_std_7d,visit_count_rolling_14d,visit_count_rolling_std_14d,visit_count_rolling_30d,visit_count_rolling_std_30d,respiratory_count_rolling_3d,respiratory_count_rolling_std_3d,respiratory_count_rolling_7d,respiratory_count_rolling_std_7d,respiratory_count_rolling_14d,respiratory_count_rolling_std_14d,respiratory_count_rolling_30d,respiratory_count_rolling_std_30d,digestive_count_rolling_3d,digestive_count_rolling_std_3d,digestive_count_rolling_7d,digestive_count_rolling_std_7d,target,date
2022,9,5,37,True,2,False,False,47,-0.9721181966290612,-0.23449138957041052,-0.9749279121818236,-0.2225209339563146,26.595001,87.159515,18.93,28.09,26.0,3.9596548,8.549999000000003,23.18007388584515,True,True,True,False,2318.007388584515,0.8129173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,3.5,1.75,3.5,1.75,3.5,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.0,0.25,0.5,0.0,2022-09-17
2022,9,6,37,True,2,False,False,48,-0.9760105506323682,-0.21772323039653224,-0.7818314824680299,0.6234898018587334,26.080414,89.44277,12.66,18.54,30.5,3.3225276,8.549999,23.3270447090678,True,False,True,False,2332.70447090678,0.5394426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,3.1304951684997055,1.4,3.1304951684997055,1.4,3.1304951684997055,0.0,0.0,0.4,0.894427190999916,0.4,0.894427190999916,0.4,0.894427190999916,0.0,0.0,0.2,0.447213595499958,0.0,2022-09-18
2022,9,0,38,False,2,False,False,49,-0.9796136916454901,-0.20089055513063528,0.0,1.0,25.903334,88.52044,12.56,18.48,9.900001,4.2370033,8.100000000000001,22.9297452314696,True,False,True,False,2292.97452314696,0.5251336000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,2.8577380332470415,1.1666666666666667,2.8577380332470415,1.1666666666666667,2.8577380332470415,0.0,0.0,0.3333333333333333,0.816496580927726,0.3333333333333333,0.816496580927726,0.3333333333333333,0.816496580927726,0.0,0.0,0.16666666666666666,0.408248290463863,0.0,2022-09-19
2022,9,1,38,False,2,False,False,50,-0.9829265519799822,-0.18399835165767986,0.7818314824680298,0.6234898018587336,25.515833,88.34484,8.52,12.36,16.0,3.2727544,8.5,22.5419218385172,True,False,True,False,2254.19218385172,0.3528132,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.1547005383792501,1.2857142857142858,2.627691364061218,1.2857142857142858,2.627691364061218,1.2857142857142858,2.627691364061218,0.3333333333333333,0.5773502691896258,0.42857142857142855,0.7867957924694432,0.42857142857142855,0.7867957924694432,0.42857142857142855,0.7867957924694432,0.3333333333333333,0.5773502691896258,0.2857142857142857,0.48795003647426666,2.0,2022-09-20
2022,9,2,38,False,2,False,False,51,-0.9859481499638303,-0.1670516255021195,0.9749279121818236,-0.22252093395631434,26.013754,83.63227,5.9,8.75,2.3999999,4.138143,7.550000000000001,21.7558929824158,False,False,True,False,2175.58929824158,0.23841900000000005,5.9,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999986,0.42857142857142855,0.7867957924694434,1.25,2.434865792722759,1.25,2.434865792722759,0.3333333333333333,0.5773502691896258,0.14285714285714285,0.37796447300922736,0.375,0.7440238091428449,0.375,0.7440238091428449,0.3333333333333333,0.5773502691896258,0.14285714285714285,0.3779644730092273,1.0,2022-09-21
2022,9,3,38,False,2,False,False,52,-0.9886775902323404,-0.15005539834465262,0.43388373911755823,-0.900968867902419,26.661667,76.58078,7.89,12.03,0.90000004,7.1134925,8.150001,20.4177125496026,False,False,False,False,2041.7712549602602,0.32514691052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999986,0.42857142857142855,0.7867957924694434,1.1111111111111112,2.3154073315749675,1.1111111111111112,2.3154073315749675,0.3333333333333333,0.5773502691896258,0.14285714285714285,0.37796447300922736,0.3333333333333333,0.7071067811865476,0.3333333333333333,0.7071067811865476,0.3333333333333333,0.5773502691896258,0.14285714285714285,0.3779644730092273,0.0,2022-09-22
2022,9,4,38,False,2,False,False,53,-0.9911140639934546,-0.13301470653419636,-0.433883739117558,-0.9009688679024191,25.669998,83.12995,8.72,13.55,9.2,7.3416724,7.649999999999999,21.339456502401,True,False,True,False,2133.9456502401,0.34830586666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.577350269189623,0.42857142857142855,0.7867957924694434,1.0,2.211083193570267,1.0,2.211083193570267,0.0,0.0,0.14285714285714285,0.37796447300922736,0.3,0.6749485577105528,0.3,0.6749485577105528,0.0,0.0,0.14285714285714285,0.3779644730092273,0.0,2022-09-23
2022,9,5,38,True,2,False,False,54,-0.9932568492674143,-0.11593459959550066,-0.9749279121818236,-0.2225209339563146,24.701248,94.538536,9.4,15.03,57.8,9.476663,5.100000000000001,23.35219823292928,True,False,True,False,2335.2198232929277,0.35478733333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.7867957924694434,0.9090909090909091,2.119176512447486,0.9090909090909091,2.119176512447486,0.0,0.0,0.14285714285714285,0.37796447300922736,0.2727272727272727,0.6466697906828632,0.2727272727272727,0.6466697906828632,0.0,0.0,0.14285714285714285,0.3779644730092273,0.0,2022-09-24
2022,9,6,38,True,2,False,False,55,-0.9951053111006974,-0.09882013873287211,-0.7818314824680299,0.6234898018587334,25.317917,92.19126,3.81,5.6,17.8,5.779011,6.449999000000002,23.3409066880542,True,False,True,False,2334.09066880542,0.14913610000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.7867957924694434,0.8333333333333334,2.0375267241229382,0.8333333333333334,2.0375267241229382,0.0,0.0,0.14285714285714285,0.37796447300922736,0.25,0.621581560508061,0.25,0.621581560508061,0.0,0.0,0.14285714285714285,0.3779644730092273,0.0,2022-09-25
2022,9,0,39,False,2,False,False,56,-0.99665890175417,-0.08167639533042288,0.0,1.0,25.936666,89.490395,6.57,9.76,14.0,3.7928572,7.850000000000001,23.2108248532307,True,False,True,False,2321.08248532307,0.27031170000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.7867957924694434,0.7692307692307693,1.9644272343292228,0.7692307692307693,1.9644272343292228,0.0,0.0,0.14285714285714285,0.37796447300922736,0.23076923076923078,0.5991446895152781,0.23076923076923078,0.5991446895152781,0.0,0.0,0.14285714285714285,0.3779644730092273,0.0,2022-09-26
